town,fuwu
?¿æ?å¸,8.18
ä¸??å¸,7.3
æ°¸å?å¸,9.43
ä¸­å?å¸,8.43
?°è?å¸,6.47
?°å?å¸,7.96
æ¨¹æ??,5.33
é¶¯æ??,4.86
ä¸?³½?,5.53
æ·¡æ°´?,9.9
æ±?­¢?,6.44
????,7.57
????,6.93
??´²?,5.63
äº???,6.54
æ³°å±±?,6.53
????,7.18
æ·±å??,6.57
?³ç??,5.46
?ªæ??,4.5
ä¸???,5.71
?³é??,8.75
?«é??,4.24
å¹³æºª?,5.92
??ºª?,6.7
è²¢å¯®?,5.81
??±±?,7.89
?¬é??,8.78
????,15.84
å®??å¸,8.52
ç¾???,8.99
??¾³?,5.81
?­å??,5.41
ç¤?ºª?,8.35
å£¯å??,3.83
?¡å±±?,4.63
?¬å±±?,5.43
äº???,5.95
ä¸???,4.45
å¤§å??,3.26
??¾³?,6.13
æ¡??å¸,7.37
ä¸­å£¢å¸,7.45
å¤§æºª?,6.28
æ¥???,5.91
??«¹?,4.35
å¤§å??,5.17
é¾?±±?,8.23
?«å¾·?,8.4
é¾?½­?,8.52
å¹³é??,7.64
?°å??,3.28
è§??³é?,3.11
å¾©è??,4.95
?°ç«¹å¸,6.98
??¥¿?,4.77
?°å??,3.77
ç«¹æ??,5.66
é¦?±±?,4.17
ç«¹å??,3.55
æ¹???,7.75
æ©«å±±?,3.93
?°è??,5.01
????,2.91
å¯¶å±±?,2.85
????,3.18
å³¨ç??,2.33
å°???,3.64
äº?³°?,5.76
????,6.31
??£¡?,3.53
????,4.12
ç«¹å??,5
?­ä»½?,4.36
å¾???,3.36
????,3.71
å¤§æ??,4.47
?¬é¤¨?,3.03
????,3.14
????,4.05
?­å??,5.19
ä¸?¾©?,3.77
è¥¿æ??,2.76
????,3.14
ä¸???,3.19
??½­?,3.34
æ³°å??,5.42
è±??å¸,4.98
?±å??,4.47
å¤§ç??,4.41
æ¸?°´?,3.51
æ²?¹¿?,4.5
æ¢§æ£²?,4.21
????,4.35
ç¥?²¡?,3.33
æ½­å??,4.71
å¤§é??,5.02
?°ç¤¾?,3.72
?³å²¡?,3.88
å¤???,3.33
å¤§å??,2.28
????,4.86
å¤§è??,3.18
é¾???,2.75
?§å³°?,5.45
å¤ªå¹³?,6.01
å¤§é??,5.26
??¹³?,7.58
å½°å?å¸,6.15
é¹¿æ¸¯?,3.38
????,3.62
????,4.49
?¡æ??,5.55
æºªæ??,3.69
?°ä¸­?,6.02
äº???,3.19
ç·?¥¿?,3.08
ä¼¸æ¸¯?,2.41
ç¦???,2.03
ç§?æ°´é?,2.77
?±å??,3.89
?¬å??,3.29
å¤§æ??,3.4
??¹½?,2.1
????,2.94
æ°¸é??,3.1
ç¤¾é??,3.29
äº?°´?,4.22
?°å°¾?,2.72
?¤é??,3.07
?³è??,2.86
å¤§å??,2.5
ç«¹å??,2.72
æºªå??,3.8
????,8.09
????,5.83
??±¯?,5.32
ç«¹å±±?,6.38
????,5.46
????,3.42
é¹¿è°·?,5.36
ä¸­å¯®?,3.47
é­???,8.01
????,3.91
æ°´é??,7
ä¿¡ç¾©?,4.21
ä»???,3.39
????,7.12
????,5.19
??°¾?,5.56
è¥¿è??,3.92
??º«?,2.83
??¸¯?,6.23
?¤å??,4.35
å¤§å??,3
?¿æ??,2.89
????,4.51
äº???,2.26
å´???,3.28
éº¥å¯®?,2.64
?±å??,2.92
è¤???,3.05
?ºè¥¿?,3.33
????,2.58
????,3.3
????,3.99
æ°´æ??,3.1
??¾©å¸,8
?´å??,5.57
å¸???,3.99
å¤§æ??,5.85
æ°???,5.49
æºªå??,4.06
?°æ¸¯?,3.56
?­è??,4.46
?±ç??,4.09
ç¾©ç«¹?,4.21
é¹¿è??,4.58
å¤ªä??,4.8
æ°´ä??,5.92
ä¸­å??,5.62
ç«¹å??,6.23
æ¢?±±?,4.76
?ªè·¯?,6.19
å¤§å??,6.33
?³é³³?,6.76
?°ç??,7.16
é¹½æ°´?,4.21
?½æ²³?,6.1
éº»è??,4.75
ä½³é??,5.2
?°å??,6.12
????,4.99
å­¸ç??,4.13
?³ç??,4.47
å¾???,4.35
?±å±±?,4.34
ä¸???,4.12
?­ç??,4.47
å®???,5.57
å¤§å??,3.3
è¥¿æ¸¯?,3.39
ä¸???,3.76
å°???,3.34
????,3.88
?°å??,4.21
å®???,2.87
å±±ä??,3.61
????,5.49
æ¥?¥¿?,4.59
????,3.79
å·¦é??,4.08
ä»?¾·?,5.94
æ­¸ä??,4.81
????,3.73
é¾???,3.76
æ°¸åº·?,6.91
é³³å±±å¸,8.36
å²¡å±±?,7.9
??±±?,7.24
ç¾???,3.95
????,7.85
å¤§å¯®?,7.26
å¤§æ¨¹?,5.23
ä»?­¦?,6.44
å¤§ç¤¾?,4.2
é³¥æ??,7.33
æ©???,4.87
??·¢?,7.29
?°å¯®?,3.58
?¿è??,4.68
è·¯ç«¹?,4.03
æ¹???,4.42
????,3.86
æ°¸å??,5.25
å½???,4.74
æ¢???,5.16
?­é??,5.72
?²ä??,5.49
????,3.63
?§é??,3.51
????,3.76
æ¡???,3.75
ä¸???,4.15
å±??å¸,8.43
æ½®å??,6.81
?±æ¸¯?,5.08
????,9
?¬ä¸¹?,4.18
?·æ²»?,4.44
éº???,4.25
ä¹???,3.55
??¸¯?,4.55
é¹½å??,4.11
é«?¨¹?,4
?¬å??,3.92
?§å??,6.46
ç«¹ç??,4.09
?°å??,4.75
??¯®?,7.03
?°å??,4.32
å´???,4.17
????,6.53
????,5.81
ä½³å??,4.31
????,3.39
è»???,6.62
æ»¿å??,5.75
??±±?,6.86
ä¸?????,3.58
?§è??,4.47
?ªå®¶?,6.97
æ³°æ­¦?,3.32
ä¾?¾©?,2.08
?¥æ??,2.66
????,5.26
?¡ä¸¹?,5.16
?ºæ?å¸,8.89
????,3.7
??±±?,5.34
????,6.06
å¤§æ­¦?,9.01
å¤ªéº»???,5.27
?±æ²³?,3.8
?·æ¿±?,4.39
é¹¿é??,6.06
æ±???,5.08
ç¶?³¶?,8.75
å»¶å¹³?,3.81
æµ·ç«¯?,4.24
????,3.36
??³°?,4.69
?­å¶¼?,4.57
?±è?å¸,10.78
é³³æ??,8.67
????,8.53
?°å??,10.67
????,6.37
å£½è??,5.74
??¾©?,6.24
è±?¿±?,4.1
????,5.01
å¯???,4.88
ç§????,6.83
?¬æ¦®?,2.81
??ºª?,3.05
é¦¬å??,9.14
æ¹?¥¿?,4.33
?½æ??,2.68
è¥¿å¶¼?,6.41
????,2.19
ä¸???,1.85
ä¸­æ­£??,8.57
ä¸????,7.03
?????,7.61
ä»????,8.98
ä¸­å±±??,7.21
å®????,7.2
ä¿¡ç¾©??,10
ä¸­å?,14.91
?±å?,8.63
è¥¿å?,8.06
???,7.11
???,9.29
è¥¿å±¯??,7.36
??±¯??,5.9
??±¯??,6.49
?±å?,7.79
???,6.37
è¥¿å?,8.9
???,7.15
ä¸­å?,7.86
å®????,3.97
å®?¹³??,4.72
?¾å±±??,8.86
å¤§å???,8.35
?¤äº­??,11.68
?????,10.75
é¾?±±??,12.57
??¸­??,12.22
å»ºæ???,10.56
å»¶å¹³??,10.6
å¤§å???,8.56
ä¸­å±±??,15.52
?§æ???,8.34
??¸¯??,8.05
?¨æ???,9.84
?¯ç???,7.49
å£«æ???,8.47
?????,10.4
é¹½å???,10.31
é¼?±±??,7.67
å·¦ç???,9.61
æ¥????,7.98
ä¸????,8.09
?°è???,9.59
?????,9.8
?????,8.35
?????,9.41
??´¥??,5.73
å°?¸¯??,7.13
