OBJECTID,town,women
1,板橋鎮,0.474863
2,三重市,0.46642
3,中和鄉,0.469944
4,永和鎮,0.501866
5,新莊鎮,0.467129
6,新店鎮,0.459938
7,樹林鎮,0.448487
8,鶯歌鎮,0.428648
9,三峽鎮,0.411345
10,淡水鎮,0.442094
11,汐止鎮,0.426666
12,瑞芳鎮,0.411645
13,土城鄉,0.439487
14,蘆洲鄉,0.45566
15,五股鄉,0.449949
16,泰山鄉,0.458305
17,林口鄉,0.420544
18,深坑鄉,0.395764
19,石碇鄉,0.388569
20,坪林鄉,0.390766
21,三芝鄉,0.405617
22,石門鄉,0.404533
23,八里鄉,0.416819
24,平溪鄉,0.393288
25,雙溪鄉,0.391784
26,貢寮鄉,0.395718
27,金山鄉,0.404573
28,萬里鄉,0.393535
29,烏來鄉,0.420364
30,宜蘭市,0.455131
31,羅東鎮,0.46021
32,頭城鎮,0.434169
33,蘇澳鎮,0.415178
34,礁溪鄉,0.431564
35,壯圍鄉,0.43488
36,員山鄉,0.427395
37,冬山鄉,0.426604
38,五結鄉,0.440305
39,三星鄉,0.424979
40,大同鄉,0.412005
41,南澳鄉,0.378715
42,桃園鎮,0.462671
43,中壢鎮,0.456331
44,大溪鎮,0.42678
45,楊梅鎮,0.434825
46,蘆竹鄉,0.435589
47,大園鄉,0.426131
48,龜山鄉,0.448533
49,八德鄉,0.449037
50,龍潭鄉,0.433535
51,平鎮鄉,0.440117
52,新屋鄉,0.426051
53,觀音鄉,0.420878
54,復興鄉,0.397295
55,竹北鄉,0.440665
56,竹東鎮,0.450799
57,新埔鎮,0.435528
58,關西鎮,0.416238
59,湖口鄉,0.442953
60,新豐鄉,0.421622
61,芎林鄉,0.434987
62,橫山鄉,0.431589
63,北埔鄉,0.436195
64,寶山鄉,0.423627
65,峨眉鄉,0.440022
66,尖石鄉,0.39206
67,五峰鄉,0.37178
68,苗栗鎮,0.461865
69,苑裡鎮,0.429676
70,通霄鎮,0.436681
71,竹南鎮,0.438643
72,頭份鎮,0.439435
73,後龍鎮,0.428227
74,卓蘭鎮,0.431627
75,大湖鄉,0.418873
76,公館鄉,0.431584
77,銅鑼鄉,0.423804
78,南庄鄉,0.415444
79,頭屋鄉,0.427164
80,三義鄉,0.421688
81,西湖鄉,0.422235
82,造橋鄉,0.435174
83,三灣鄉,0.422923
84,獅潭鄉,0.407853
85,泰安鄉,0.394257
86,豐原鎮,0.463407
87,東勢鎮,0.449035
88,大甲鎮,0.450173
89,清水鎮,0.455328
90,沙鹿鎮,0.452268
91,梧棲鎮,0.451012
92,后里鄉,0.458718
93,神岡鄉,0.446024
94,潭子鄉,0.459788
95,大雅鄉,0.452241
96,新社鄉,0.434922
97,石岡鄉,0.439501
98,外埔鄉,0.43194
99,大安鄉,0.446436
100,烏日鄉,0.448115
101,大肚鄉,0.44941
102,龍井鄉,0.437865
103,霧峰鄉,0.439485
104,太平鄉,0.433423
105,大里鄉,0.439914
106,和平鄉,0.429676
107,彰化市,0.461456
108,鹿港鎮,0.443552
109,和美鎮,0.447031
110,線西鄉,0.428384
111,伸港鄉,0.436875
112,福興鄉,0.435103
113,秀水鄉,0.44064
114,花壇鄉,0.431646
115,芬園鄉,0.444083
116,員林鎮,0.452197
117,溪湖鎮,0.453585
118,田中鎮,0.452801
119,大村鄉,0.431614
120,埔鹽鄉,0.450365
121,埔心鄉,0.443904
122,永靖鄉,0.44635
123,社頭鄉,0.442831
124,二水鄉,0.447208
125,北斗鎮,0.454995
126,二林鎮,0.448684
127,田尾鄉,0.443465
128,埤頭鄉,0.455941
129,芳苑鄉,0.441274
130,大城鄉,0.444292
131,竹塘鄉,0.457427
132,溪州鄉,0.454037
133,南投鎮,0.453786
134,埔里鎮,0.431572
135,草屯鎮,0.450615
136,竹山鎮,0.444717
137,集集鎮,0.437095
138,名間鄉,0.435537
139,鹿谷鄉,0.42308
140,中寮鄉,0.426679
141,魚池鄉,0.43501
142,國姓鄉,0.420279
143,水里鄉,0.433528
144,信義鄉,0.395006
145,仁愛鄉,0.3996
146,斗六鎮,0.460165
147,斗南鎮,0.448313
148,虎尾鎮,0.463236
149,西螺鎮,0.461113
150,土庫鎮,0.446116
151,北港鎮,0.448488
152,古坑鄉,0.440877
153,大埤鄉,0.428447
154,莿桐鄉,0.459828
155,林內鄉,0.432989
156,二崙鄉,0.450655
157,崙背鄉,0.446194
158,麥寮鄉,0.430127
159,東勢鄉,0.436313
160,褒忠鄉,0.431651
161,臺西鄉,0.417548
162,元長鄉,0.435806
163,四湖鄉,0.420085
164,口湖鄉,0.412676
165,水林鄉,0.4268
166,太保市,0.430658
167,朴子鎮,0.441765
168,布袋鎮,0.434963
169,大林鎮,0.443207
170,民雄鄉,0.44022
171,溪口鄉,0.429507
172,新港鄉,0.432337
173,六腳鄉,0.43604
174,東石鄉,0.425722
175,義竹鄉,0.434884
176,鹿草鄉,0.436095
177,水上鄉,0.436272
178,中埔鄉,0.426966
179,竹崎鄉,0.422392
180,梅山鄉,0.437519
181,番路鄉,0.407186
182,大埔鄉,0.413606
183,吳鳳鄉,0.411243
184,新營鎮,0.468251
185,鹽水鎮,0.450091
186,白河鎮,0.43172
187,柳營鄉,0.444743
188,後壁鄉,0.443989
189,東山鄉,0.434642
190,麻豆鎮,0.44673
191,下營鄉,0.443781
192,六甲鄉,0.452021
193,官田鄉,0.443978
194,大內鄉,0.431465
195,佳里鎮,0.437757
196,學甲鄉,0.440675
197,西港鄉,0.421076
198,七股鄉,0.419905
199,將軍鄉,0.421682
200,北門鄉,0.417613
201,新化鎮,0.445633
202,善化鎮,0.446961
203,新市鄉,0.433869
204,安定鄉,0.418868
205,山上鄉,0.422645
206,玉井鄉,0.426226
207,楠西鄉,0.414713
208,南化鄉,0.399113
209,左鎮鄉,0.410237
210,仁德鄉,0.490263
211,歸仁鄉,0.434739
212,關廟鄉,0.433976
213,龍崎鄉,0.407424
214,永康鄉,0.453579
215,鳳山鎮,0.466726
216,林園鄉,0.433307
217,大寮鄉,0.437398
218,大樹鄉,0.4295
219,大社鄉,0.432816
220,仁武鄉,0.435875
221,鳥松鄉,0.443724
222,岡山鎮,0.468351
223,橋頭鄉,0.451177
224,燕巢鄉,0.428502
225,田寮鄉,0.409199
226,阿蓮鄉,0.432614
227,路竹鄉,0.438927
228,湖內鄉,0.443674
229,茄萣鄉,0.441962
230,永安鄉,0.437785
231,彌陀鄉,0.431444
232,梓官鄉,0.427709
233,旗山鎮,0.43856
234,美濃鎮,0.436656
235,六龜鄉,0.400506
236,甲仙鄉,0.400317
237,杉林鄉,0.404329
238,內門鄉,0.40677
239,茂林鄉,0.420339
240,桃源鄉,0.378953
241,三民鄉,0.402311
242,屏東市,0.470322
243,潮州鎮,0.444675
244,東港鎮,0.447594
245,恆春鎮,0.409603
246,萬丹鄉,0.445436
247,長治鄉,0.431952
248,麟洛鄉,0.447858
249,九如鄉,0.450841
250,里港鄉,0.447343
251,鹽埔鄉,0.427638
252,高樹鄉,0.426105
253,萬巒鄉,0.426424
254,內埔鄉,0.430818
255,竹田鄉,0.441054
256,新埤鄉,0.41952
257,枋寮鄉,0.434527
258,新園鄉,0.42595
259,崁頂鄉,0.439608
260,林邊鄉,0.44209
261,南州鄉,0.452352
262,佳冬鄉,0.43611
263,琉球鄉,0.423539
264,車城鄉,0.409146
265,滿州鄉,0.390089
266,枋山鄉,0.40754
267,三地鄉,0.400337
268,霧臺鄉,0.402456
269,瑪家鄉,0.401584
270,泰武鄉,0.388489
271,來義鄉,0.395083
272,春日鄉,0.407371
273,獅子鄉,0.397125
274,牡丹鄉,0.393393
275,臺東鎮,0.458876
276,成功鎮,0.405628
277,關山鎮,0.413413
278,卑南鄉,0.413667
279,鹿野鄉,0.416009
280,池上鄉,0.414221
281,東河鄉,0.402101
282,長濱鄉,0.39537
283,太麻里鄉,0.412789
284,大武鄉,0.392308
285,綠島鄉,0.420955
286,海端鄉,0.418811
287,延平鄉,0.390166
288,金峰鄉,0.398362
289,達仁鄉,0.394934
290,蘭嶼鄉,0.40614
291,花蓮市,0.468595
292,鳳林鎮,0.426599
293,玉里鎮,0.418004
294,新城鄉,0.435395
295,吉安鄉,0.433905
296,壽豐鄉,0.409294
297,光復鄉,0.425511
298,豐濱鄉,0.404768
299,瑞穗鄉,0.414372
300,富里鄉,0.402915
301,秀林鄉,0.397888
302,萬榮鄉,0.398083
303,卓溪鄉,0.39937
304,馬公鎮,0.422439
305,湖西鄉,0.390306
306,白沙鄉,0.38051
307,西嶼鄉,0.390308
308,望安鄉,0.399076
309,七美鄉,0.405229
310,中正區,0.461818
311,七堵區,0.422257
312,暖暖區,0.431046
313,仁愛區,0.460593
314,中山區,0.440168
315,安樂區,0.439562
316,信義區,0.462045
317,新竹市,0.474645
318,香山鄉,0.438322
319,中區,0.495204
320,東區,0.474295
321,南區,0.48442
322,西區,0.477656
323,北區,0.482095
324,西屯區,0.4508
325,南屯區,0.447388
326,北屯區,0.453339
327,嘉義市,0.470261
328,東區,0.491136
329,南區,0.476413
330,西區,0.485039
331,北區,0.47747
332,中區,0.498699
333,安南區,0.422161
334,安平區,0.459324
335,鹽埕區,0.483506
336,鼓山區,0.475957
337,左營區,0.483176
338,楠梓區,0.458397
339,三民區,0.478759
340,新興區,0.487196
341,前金區,0.484723
342,苓雅區,0.478728
343,前鎮區,0.464537
344,旗津區,0.446011
345,小港鄉,0.446395
346,大安區,0.52463
347,大同區,0.477596
348,松山區,0.488539
349,南港鎮,0.456269
350,內湖鄉,0.452097
351,中山區,0.502715
352,北投鎮,0.460291
353,士林鎮,0.470295
354,城中區,0.528534
355,延平區,0.489537
356,建成區,0.487012
357,古亭區,0.500963
358,龍山區,0.48764
359,雙園區,0.464004
360,景美鎮,0.469124
361,木柵鄉,0.45081
